No,word,ÆÄ»ý¾î,grade
439,challenge,,2
440,chamber,,3
441,champion,,2
442,chance,,1
443,change,,1
444,channel,,2
445,chaos,,3
446,character,,2
447,characteristic,,2
448,charge,(discharge),2
449,charity,,3
450,charm,,2
451,chart,,2
452,chase,,2
453,chat,,2
454,cheap,,1
455,check,/ cheque,1
456,cheek,,2
457,cheer,,2
458,cheese,,1
459,chef,,3
460,chemical,,3
461,chest,,2
462,chew,,2
463,chicken,,1
464,chief,,2
465,child,,1
466,chill,,3
467,chin,,3
468,chip,,2
469,chocolate,,1
470,choice,,2
471,choir,,3
472,choose,,1
473,chop,,2
474,chorus,,3
475,chronic,,3
476,church,,1
477,cigarette,,2
478,cinema,,2
479,circle,,1
480,circulate,,3
481,circumstance,,2
482,cite,,3
483,citizen,,2
484,city,,1
485,civil,,2
486,claim,,2
487,clap,,3
488,clash,,3
489,class,"(classic, classify)",1
490,clause,,3
491,clay,,3
492,clean,,1
493,clear,(clarify),1
494,clerk,,2
495,clever,,1
496,click,,2
497,client,,2
498,cliff,,2
499,climate,,2
500,climb,,1
501,cling,,3
502,clinic,,3
503,clip,,2
504,clock,,1
505,close,"(disclose, enclose)",1
506,clothes,,1
507,cloud,,1
508,club,,1
509,clue,,2
510,cluster,,3
511,coach,,2
512,coal,,2
513,coast,,2
514,coat,,1
515,code,,2
516,coffee,,1
517,coin,,2
518,coincide,,3
519,cold,,1
520,collaborate,,3
521,collapse,,3
522,collar,,3
523,colleague,,3
524,collect,,1
525,college,,1
526,colony,,3
527,color,/ colour,1
528,column,,3
529,combat,,3
530,combine,,2
531,come,,1
532,comedy,,2
533,comfort,(comfortable),2
534,comic,,1
535,command,,2
536,comment,,2
537,commerce,,2
538,commit,(commission),3
539,committee,,2
540,commodity,,3
541,common,,2
542,communicate,(communication),2
543,communist,,3
544,community,,2
545,companion,,3
546,company,,1
547,compare,,2
548,compatible,,3
549,compel,,3
550,compensate,,3
551,compete,(competent),3
552,compile,,3
553,complain,,2
554,complement,,3
555,complete,,2
556,complex,(complexity),2
557,complicate,,2
558,component,,3
559,compose,,3
560,compound,,3
561,comprehend,(comprehensive),3
562,comprise,,3
563,compromise,,3
564,compute,(computer),1
565,conceal,,3
566,conceive,,3
567,concentrate,,2
568,concept,,2
569,concern,,2
570,concert,,2
571,conclude,,3
572,concrete,,3
573,condemn,,3
574,condition,,1
575,conduct,,3
576,confer,,3
577,confess,,3
578,confide,(confident),3
579,confine,,3
580,confirm,,2
581,conflict,,2
582,conform,,3
583,confront,,3
584,confuse,,2
585,congratulate,,1
586,congress,,3
587,connect,,2
588,conscience,,3
589,conscious,,2
590,consent,,3
591,conserve,,3
592,consider,,2
593,consist,(consistent),3
594,constant,,2
595,constitute,(constitution),3
596,constrain,,3
597,construct,(construction),3
598,consult,,3
599,consume,"(consumer, consumption)",2
600,contact,,2
601,contain,,2
602,contemporary,,3
603,contend,,3
604,content,,2
605,contest,,2
606,context,,2
607,continent,,3
608,continue,,2
609,contract,,2
610,contradict,,3
611,contrary,,3
612,contrast,,3
613,contribute,,2
614,control,,1
615,controversy,,3
616,convene,"(convenient, convention)",3
617,converse,(conversation),2
618,convert,,3
619,convey,,3
620,convict,,3
621,convince,,2
622,cook,,1
623,cookie,/ cooky,1
624,cool,,1
625,cooperate,,3
626,coordinate,,3
627,cop,,2
628,cope,,2
629,copy,,2
630,copyright,,3
631,cord,,3
632,core,,3
633,corn,,3
634,corner,,1
635,corporate,(corporation),3
636,correct,,2
637,correspond,,3
638,corridor,,3
639,corrupt,,3
640,cost,,1
641,costume,,3
642,cottage,,2
643,cotton,,2
644,cough,,2
645,could,,1
646,council,,2
647,counsel,,3
648,count,"(discount, counter)",2
649,counterpart,,3
650,country,,1
651,countryside,,2
652,county,,2
653,couple,,1
654,coupon,,3
655,courage,"(discourage, encourage)",3
656,course,,1
657,court,,1
658,cousin,,1
659,cover,(discover),1
660,cow,,1
661,crack,,2
662,craft,,3
663,crash,,2
664,crawl,,2
665,crayon,,1
666,craze,(crazy),3
667,cream,,1
668,create,(creature),2
669,credible,(incredible),3
670,credit,,2
671,creep,,3
672,crew,,3
673,crime,(criminal),2
674,crisis,,2
675,crisp,,2
676,criterion,,3
677,critic,"(criticize / criticise, criticism)",3
678,crop,,3
679,cross,,1
680,crowd,,2
681,crown,,2
682,crucial,,3
683,cruel,,2
684,cruise,,3
685,crush,,3
686,cry,,1
687,crystal,,3
688,cultivate,,3
689,culture,,1
690,cup,,1
691,cure,,2
692,curious,(curiosity),2
693,curl,,2
694,currency,,3
695,current,,2
696,curriculum,,3
697,curry,,3
698,curse,,3
699,curtain,,1
700,curve,,3
701,custody,,3
702,custom,,3
703,customer,,1
704,cut,,1
705,cute,,2
706,cycle,(recycle cyclist),2
707,cynical,,3
708,dairy,,3
709,damage,,2
710,damp,,3
711,dance,,1
712,danger,,1
713,dare,,2
714,dark,,1
715,darling,,2
716,dash,,3
717,database,,3
718,date,,1
719,datum,(data),3
720,daughter,,1
721,dawn,,2
722,day,,1
723,dead,,1
724,deal,,2
725,death,,1
726,debate,,2
727,debt,,2
728,decade,,3
729,decay,,3
730,decent,,3
731,decide,(decision),1
732,deck,,2
733,declare,,3
734,decline,(declension),3
735,decorate,,2
736,decrease,,3
737,dedicate,,3
738,deep,,1
739,defeat,,3
740,defend,(defendant),3
741,defense,/ defence,2
742,deficiency,,3
743,deficit,,3
744,define,,2
745,definite,,2
746,degree,,2
747,delay,,2
748,delegate,,3
749,delete,,3
750,deliberate,,3
751,delicate,,3
752,delicious,,1
753,delight,,2
754,deliver,,2
755,demand,,2
756,democracy,,3
757,democrat,,3
758,demon,,3
759,demonstrate,,2
760,dense,,3
761,dentist,,2
762,deny,,2
763,depart,"(department, departure)",3
764,depend,"(dependence, independent)",2
765,depict,,3
766,deposit,,3
767,depress,,2
768,deprive,,3
769,derive,,3
770,descend,,3
771,describe,(description),2
772,desert,,2
773,deserve,,2
774,design,,1
775,designate,,3
776,desire,,2
777,desk,,1
778,despair,,3
779,desperate,,2
780,despite,,2
781,destine,(destination),3
782,destiny,,3
783,destroy,,2
784,destruct,(destruction),3
785,detach,,3
786,detail,,2
787,detect,,2
788,determine,,2
789,develop,,2
790,device,,3
791,devil,,3
792,devise,,3
793,devote,,3
794,diabetes,,3
795,dialogue,/ dialog,1
796,diary,,2
797,dictate,,3
798,dictionary,,2
799,die,,1
800,diet,,2
801,differ,(different),3
802,difficult,,1
803,dig,,2
804,dignity,,3
805,dimension,,3
806,diminish,,3
807,dine,,3
808,dinner,,1
809,dip,,3
810,diplomat,,3
811,direct,,2
812,dirt,(dirty),2
813,disappoint,,2
814,disaster,,3
815,disc,(disk),2
816,discipline,,2
817,discourse,,3
818,discriminate,,3
819,discuss,,1
820,disgust,,2
821,dish,,2
822,dismiss,,3
823,display,,2
824,dispute,,3
825,disrupt,,3
826,distance,,2
827,distinct,,3
828,distinguish,,3
829,distort,,3
830,distract,,3
831,distribute,,3
832,district,,2
833,disturb,,2
834,dive,,2
835,diverse,,3
836,divide,,2
837,divine,,3
838,divorce,,2
839,do,,1
840,doctor,,1
841,document,,2
842,dog,,1
843,doll,,1
844,dolphin,,2
845,domain,,3
846,domestic,,2
847,dominate,(dominant),3
848,donate,,2
849,door,,1
850,dose,,3
851,dot,,3
852,double,,1
853,doubt,,2
854,doughnut,,1
855,down,,1
856,dozen,,2
857,draft,,3
858,drag,,2
859,drain,,3
860,drama,,2
861,draw,(drawer),1
862,dread,,3
863,dream,,1
864,dress,,1
865,drill,,3
866,drink,,1
867,drive,,1
868,drop,,1
869,drown,,3
870,drug,,2
871,drum,,1
872,dry,,1
873,dual,,3
874,duck,,1
875,due,,2
876,dull,,3
877,dump,,2
878,during,,1
879,dust,,2
880,duty,,2
881,dwell,,3
882,dynamic,,3
883,each,,2
884,eager,,3
885,ear,,1
886,early,,1
887,earn,,2
888,earth,,1
889,ease,"(disease, easy)",2
890,east,,1
891,eat,,1
892,economy,,2
893,edge,,2
894,edit,,2
895,educate,,2
896,effect,(effective),2
897,efficient,,3
898,effort,,2
899,egg,,1
900,eight,,1
901,either,,2
902,elaborate,,3
903,elect,,2
904,electric,,2
905,electronic,,3
906,elegant,,3
907,element,(elementary),2
908,elephant,,1
909,elevate,(elevator),3
910,eleven,,1
911,eliminate,,3
912,elite,,3
913,else,,2
914,embarrass,,2
915,embassy,,3
916,embrace,,3
917,emerge,(emergence),3
918,emergency,,3
919,emit,(emission),3
920,emotion,,2
921,emphasis,,3
922,emphasize,,2
923,empire,,2
924,employ,,2
925,empty,,2
926,encounter,,3
927,end,,1
928,endure,,3
929,enemy,,2
930,energy,,1
931,engage,,2
932,engine,,2
933,engineer,,2
934,enhance,,3
935,enormous,,2
936,enough,,1
937,enter,,1
938,enterprise,,3
939,entertain,,2
940,enthusiastic,,3
941,entire,,2
942,entry,,3
943,envelope,,2
944,environ,(environment),3
945,envy,,3
946,equal,,2
947,equip,(equipment),3
948,era,,3
949,erase,(eraser),3
950,erect,,3
951,err,(error),3
952,escape,,2
953,especial,(especially),2
954,essay,,2
955,essence,(essential),3
956,establish,,2
957,estate,,3
958,estimate,,2
959,ethic,(ethical),3
960,ethnic,,3
961,evacuate,,3
962,evaluate,,3
963,even,,2
964,evening,,1
965,event,(eventually),2
966,ever,,2
967,every,,1
968,evidence,,2
969,evil,,2
970,evitable,(inevitable),3
971,evolution,,3
972,evolve,,3
973,exact,,2
974,exaggerate,,3
975,examine,(examination / exam),2
976,example,,1
977,exceed,,3
978,excel,(excellent),3
979,except,,2
980,excess,,3
981,exchange,,2
982,excite,,2
983,exclude,(exclusive),3
984,excuse,,2
985,executive,,3
986,exercise,,1
987,exhaust,,2
988,exhibit,,3
989,exist,,2
990,exit,,2
991,exotic,,3
992,expand,,2
993,expect,,2
994,expense,(expensive),2
995,experience,,2
996,experiment,,2
997,expert,,2
998,expertise,,3
999,explain,,2
1000,explicit,,3
1001,explode,,3
1002,explore,,3
1003,export,,3
1004,expose,,2
1005,express,,2
1006,extend,,2
1007,extent,,3
1008,external,,3
1009,extinct,,3
1010,extra,,2
1011,extract,,3
1012,extraordinary,,3
1013,extreme,,2
1014,eye,,1
1015,eyebrow,,3
1016,fabric,,3
1017,face,,1
1018,facilitate,,3
1019,facility,,3
1020,fact,(factual),1
1021,factor,,2
1022,factory,,2
1023,faculty,,3
1024,fade,,3
1025,fail,,1
1026,faint,,2
1027,fair,,2
1028,faith,,2
1029,fall,,1
1030,FALSE,,3
1031,fame,(famous),3
1032,familiar,,2
1033,family,,1
1034,fan,,1
1035,fancy,,2
1036,fantastic,,2
1037,far,,1
1038,fare,,3
1039,farm,,1
1040,fascinate,,2
1041,fashion,,2
1042,fast,,1
1043,fasten,,3
1044,fat,,1
1045,fate,(fatal),3
1046,father,"(dad, daddy)",1
1047,fault,,2
1048,favor,/ favour,2
1049,favorite,/ favourite,1
1050,fear,,2
1051,feature,,2
1052,federal,,3
1053,fee,,2
1054,feed,,2
1055,feel,,1
1056,fellow,,2
1057,female,,2
1058,fence,,2
1059,ferry,,3
1060,fertile,,3
1061,festival,,1
1062,fever,,2
1063,few,,2
1064,fiber,/ fibre,3
1065,fiction,,3
1066,field,,1
1067,fierce,,3
1068,fight,,1
1069,figure,,2
1070,file,,1
1071,fill,,1
1072,film,,1
1073,filter,,3
1074,final,,2
1075,finance,,2
1076,find,,1
1077,fine,,1
1078,finger,,1
1079,finish,,1
1080,finite,,3
1081,fire,,1
1082,firm,,2
1083,first,,1
1084,fish,,1
1085,fit,,2
1086,five,,1
1087,fix,,1
1088,flag,,2
1089,flame,,2
1090,flash,,2
1091,flat,,2
1092,flavor,/ flavour,3
1093,flaw,,3
1094,flee,,3
1095,flesh,,3
1096,flexible,,3
1097,flight,,2
1098,flip,,3
1099,float,,2
1100,flock,,3
1101,flood,,2
1102,floor,,1
1103,flourish,,3
1104,flow,,2
1105,flower,,1
1106,flush,,3
1107,fly,,1
1108,focus,,1
1109,fog,,2
1110,fold,,2
1111,folk,,2
1112,follow,,2
1113,fond,,3
1114,food,,1
1115,fool,,1
1116,foot,,1
1117,football,,1
1118,for,,1
1119,forbid,,3
1120,force,(enforce),2
1121,forecast,,3
1122,forehead,,3
1123,foreign,,2
1124,forest,,1
1125,forever,,2
1126,forget,,1
1127,forgive,,2
1128,fork,,1
1129,form,"(formal, formation, informal)",1
1130,format,,3
1131,former,,3
1132,formula,,3
1133,forth,,2
1134,fortunate,,2
1135,fortune,,2
1136,forward,,2
1137,foster,,3
1138,found,(foundation),2
1139,fountain,,3
1140,four,,1
1141,fox,,1
1142,fraction,,3
1143,frame,,2
1144,framework,,3
1145,frankly,,2
1146,free,,1
1147,freeze,,2
1148,frequent,,3
1149,fresh,,1
1150,friend,(friendship),1
1151,fright,,2
1152,frog,,2
1153,from,,1
1154,front,,1
1155,frost,,3
1156,frown,,3
1157,fruit,,1
1158,frustrate,,2
1159,fry,,2
1160,fuel,,3
1161,fulfil,,3
1162,full,,1
1163,fun,,1
1164,function,,2
1165,fund,,2
1166,fundamental,,3
1167,funeral,,3
1168,fur,,2
1169,furnish,,3
1170,furniture,,2
1171,furthermore,,3
1172,fury,(furious),3
1173,fuse,,3
1174,future,,1
1175,gain,,2
1176,gallery,,3
1177,gamble,,3
1178,game,,1
1179,gang,,3
1180,gap,,3
1181,garage,,2
1182,garden,,1
1183,gas,,1
1184,gasoline,/ petrol,3
1185,gate,,2
1186,gather,,2
1187,gaze,,3
1188,gear,,2
1189,gender,,3
1190,gene,(genetic),3
1191,general,,2
1192,generate,(generation),3
1193,generous,,3
1194,genius,,3
1195,gentle,,2
1196,gentleman,,1
1197,genuine,,3
1198,geography,,3
1199,geology,,3
1200,gesture,,2
1201,get,,1
1202,ghost,,2
1203,giant,,2
1204,gift,,2
1205,giraffe,,2
1206,girl,,1
1207,give,,1
1208,glad,,1
1209,glance,,2
1210,glare,,3
1211,glass,,1
1212,globe,(global),3
1213,glory,,2
1214,glove,,2
1215,glow,,3
1216,glue,,2
1217,go,,1
1218,goal,,1
1219,goat,,3
1220,god,,1
1221,gold,,1
1222,golf,,2
1223,good,(goods),1
1224,goodbye,(bye),1
1225,gorgeous,,2
1226,govern,(government),2
1227,grab,,2
1228,grace,,2
1229,grade,(gradual),2
1230,graduate,,3
1231,grain,,3
1232,grand,,2
1233,grandfather,,1
1234,grant,,2
1235,grape,,1
1236,graph,(graphic),2
1237,grasp,,3
1238,grass,,1
1239,grateful,,3
1240,grave,,3
1241,gray,/ grey,1
1242,great,,1
1243,greed,,3
1244,green,,1
1245,greet,,2
1246,grief,,3
1247,grip,,3
1248,grocery,,2
1249,gross,,3
1250,ground,,1
1251,group,,1
1252,grow,,1
1253,guarantee,,2
1254,guard,,2
1255,guardian,,3
1256,guess,,1
1257,guest,,2
1258,guide,,2
1259,guideline,,3
1260,guilt,(guilty),2
1261,guitar,,1
1262,gulf,,3
1263,gum,,1
1264,gun,,2
1265,guy,,1
1266,gymnasium,/ gym,3
1267,habit,,1
1268,habitat,,3
1269,hair,,1
1270,half,,2
1271,hall,,2
1272,halt,,3
1273,hamburger,,1
1274,hammer,,3
1275,hand,,1
1276,handicap,,3
1277,handle,,2
1278,handsome,,2
1279,hang,,1
1280,happen,,2
1281,happy,,1
1282,harbor,/ harbour,3
1283,hard,(hardly),1
1284,harm,,2
1285,harmony,(harmonious),3
1286,harsh,,3
1287,harvest,,3
1288,hat,,1
1289,hate,,1
1290,haunt,,3
1291,have,,1
1292,hazard,,3
1293,he,,1
1294,head,,1
1295,headquarters,,3
1296,heal,,3
1297,health,(healthy),2
1298,hear,,2
1299,heart,,1
1300,heat,,1
1301,heaven,,2
1302,heavy,,1
1303,heel,,3
1304,height,,2
1305,heir,,3
1306,helicopter,,2
1307,hell,,2
1308,hello,/ hey / hi,1
1309,helmet,,1
1310,help,,1
1311,hence,,3
1312,here,,1
1313,heritage,,3
1314,hero,,1
1315,hesitate,,2
1316,hide,,2
1317,hierarchy,,3
1318,high,,1
1319,highlight,,3
1320,highway,,2
1321,hike,,1
1322,hill,,1
1323,hint,,2
1324,hire,,2
1325,history,,1
1326,hit,,1
1327,hobby,,1
1328,hold,,1
1329,hole,,2
1330,holiday,,1
1331,holy,,3
1332,home,,1
1333,homework,,1
1334,honest,,1
1335,honey,,2
1336,honor,/ honour,2
1337,hook,,3
1338,hope,,1
1339,horizon,,3
1340,horror,,3
1341,horse,,1
1342,hospital,,1
1343,host,,3
1344,hostile,,3
1345,hot,,1
1346,hotel,,2
1347,hour,,1
1348,house,,1
1349,household,,3
1350,how,,1
1351,however,,1
1352,hug,,2
1353,huge,,2
1354,human,,1
1355,humor,/ humour,2
1356,hundred,,1
1357,hunger,(hungry),2
1358,hunt,,1
1359,hurry,,1
1360,hurt,,2
1361,husband,,1
1362,hut,,3
1363,hypothesis,,3
1364,I,,1
1365,ice,,1
1366,idea,,1
1367,ideal,,3
1368,identical,,3
1369,identity,(identify),2
1370,ideology,,3
1371,if,,1
1372,ignore,,2
1373,ill,,2
1374,illude,(illusion),3
1375,illustrate,,2
1376,image,,1
1377,imagine,,2
1378,imitate,,3
1379,immediate,,2
1380,immense,,3
1381,immigrate,,3
1382,immune,,3
1383,impact,,3
1384,imperial,,3
1385,implement,,3
1386,imply,,3
1387,import,"(importance, important)",3
1388,impose,,3
1389,impress,,2
1390,improve,,2
1391,in,,1
1392,incentive,,3
1393,incident,,3
1394,incline,,3
1395,include,,2
1396,income,,2
1397,incorporate,,3
1398,increase,,2
1399,indeed,,2
1400,index,,3
1401,indicate,,2
1402,individual,,2
1403,induce,,3
1404,industry,,2
1405,infant,,3
1406,infect,,3
1407,infer,(inference),3
1408,inflate,,3
1409,influence,,2
1410,inform,,2
1411,ingredient,,3
1412,inhabit,,3
1413,inherent,,3
1414,inhibit,,3
1415,initial,,3
1416,inject,,3
1417,injure,,2
1418,inn,,3
1419,innocent,,2
1420,innovate,,3
1421,input,,3
1422,inquire,/ enquire,3
1423,insect,,3
1424,insert,,3
1425,inside,,1
1426,insight,,3
1427,insist,,2
1428,inspect,,2
1429,inspire,,3
1430,install,,3
1431,instance,,2
1432,instant,,2
1433,instead,,2
1434,instinct,,3
1435,institute,(institution),3
1436,instruct,,2
1437,instrument,,2
1438,insult,,3
1439,insure,(insurance),2
1440,integrate,,3
1441,intellect,(intellectual),3
1442,intelligent,,3
1443,intend,,2
1444,intense,,2
1445,intent,(intention),2
1446,interest,,2
1447,interfere,,3
1448,interior,,3
1449,intermediate,,3
1450,internal,,2
1451,internet,,1
1452,interpret,,3
1453,interrupt,,2
1454,interval,,3
1455,intervene,,3
1456,intimate,,3
1457,into,,1
1458,intrigue,,3
1459,introduce,,1
1460,invade,,3
1461,invent,(inventor),2
1462,invest,,2
1463,investigate,,2
1464,invite,,1
1465,involve,,2
1466,iron,,2
1467,irony,,3
1468,irritate,,3
1469,island,,2
1470,isolate,,3
1471,issue,,1
1472,it,,1
1473,item,,2
1474,jacket,,1
1475,jail,,3
1476,jam,,1
1477,jar,,3
1478,jaw,,2
1479,jeans,,2
1480,job,,1
1481,jog,,3
1482,join,,1
1483,joint,,3
1484,joke,,2
1485,journal,,3
1486,journey,,2
1487,joy,(enjoy),2
1488,judge,,2
1489,juice,,1
1490,jump,,1
1491,junior,,2
1492,jury,,3
1493,just,,1
1494,justice,,2
1495,keen,,3
1496,keep,,1
1497,key,,1
1498,kick,,1
1499,kid,,1
1500,kill,,1
1501,kind,,1
1502,king,,1
1503,kiss,,1
1504,kit,,3
1505,kitchen,,1
1506,knee,,2
1507,knife,,1
1508,knight,,3
1509,knock,,2
1510,knot,,3
1511,know,,1
1512,knowledge,,2
1513,label,,2
1514,labor,/ labour,2
1515,laboratory,/ lab,2
1516,lack,,2
1517,ladder,,3
1518,lady,,1
1519,lake,,1
1520,lamb,,2
1521,lamp,,2
1522,land,,1
1523,landscape,,3
1524,lane,,2
1525,language,,2
1526,lap,,3
1527,large,,1
1528,laser,,1
1529,last,,1
1530,late,,1
1531,latter,,3
1532,laugh,,2
1533,launch,,3
1534,laundry,,3
1535,law,,2
1536,lawn,,2
1537,lawyer,,2
1538,lay,(layer),2
1539,lazy,,1
1540,lead,,2
1541,leaf,,2
1542,league,,2
1543,leak,,3
1544,lean,,2
1545,leap,,2
